StudentID,FirstName,LastName,DateOfBirth,EnrollmentDate,Major
1,Christina,Clarke,1996-11-05,2024-07-11,Engineering
2,Scott,Gibbs,2006-04-22,2022-06-11,Mathematics
3,Shelley,Arias,1993-10-04,2018-04-14,Computer Science
4,Lindsay,Mason,1993-10-15,2024-08-03,Engineering
5,Rebecca,Morales,1997-09-04,2021-11-14,Art
6,Jennifer,Peters,1995-01-18,2016-06-07,Science
7,John,Norman,2003-10-13,2017-03-19,Computer Science
8,Patricia,Alvarez,1995-02-27,2015-10-27,History
9,Connor,Gardner,2004-03-26,2021-11-09,Mathematics
10,Peter,Keller,2001-07-12,2015-02-28,Art
11,Allison,Wilkinson,1996-11-30,2018-10-21,History
12,Sara,Frye,1999-02-13,2023-07-12,Science
13,Marc,Clark,2006-04-24,2023-03-22,Art
14,Kathleen,Villegas,2005-01-19,2017-06-23,Engineering
15,Joshua,Ballard,1996-05-31,2020-05-04,Computer Science
16,Justin,Bell,1993-12-18,2020-12-21,Mathematics
17,Kimberly,Marquez,2005-04-15,2016-12-29,Computer Science
18,Elizabeth,Wise,2002-03-22,2023-06-23,Art
19,Rachel,Santos,2002-03-07,2017-02-14,History
20,Brian,Porter,2000-09-16,2022-06-06,Art
21,Daniel,Bridges,2001-07-30,2015-02-08,Mathematics
22,Nicole,Alvarez,2005-07-05,2024-08-03,Science
23,Christopher,White,2003-04-21,2015-05-05,Art
24,Jennifer,Brooks,2001-09-26,2020-05-10,Art
25,Rose,Conley,1998-01-18,2018-02-04,Art
26,Matthew,Merritt,1995-07-31,2016-02-16,Science
27,James,Fischer,2005-09-25,2024-01-19,History
28,Lisa,Lee,2002-08-24,2015-08-29,History
29,Richard,Mendoza,1999-05-16,2019-01-04,History
30,Jill,Bowen,1997-08-01,2024-01-06,History
31,Lisa,Harris,1999-01-30,2022-09-15,Science
32,Johnny,Thomas,1993-11-20,2015-04-15,Computer Science
33,Margaret,Hamilton,2006-03-17,2015-03-10,Art
34,Ann,Bailey,2002-02-09,2014-10-22,History
35,Melanie,Williamson,2003-07-06,2015-02-26,Mathematics
36,Steven,Lee,2000-06-02,2018-10-25,Mathematics
37,Zachary,Garcia,2001-11-29,2017-06-22,Art
38,Jessica,Snow,1997-07-16,2023-08-18,Mathematics
39,Tracy,Hernandez,2005-10-26,2020-07-30,Computer Science
40,Jenny,Smith,2005-05-19,2024-03-01,History
41,Mitchell,Wiggins,2003-05-20,2022-06-12,Engineering
42,Leah,Washington,1998-02-15,2019-11-15,History
43,Marvin,Harris,2003-01-11,2017-12-26,Computer Science
44,Michael,White,2003-10-18,2018-07-16,Mathematics
45,Michelle,Hunter,2004-02-08,2020-05-30,History
46,Jane,Cooper,2004-01-24,2015-04-07,Engineering
47,Victoria,Lyons,2003-07-04,2015-10-10,Mathematics
48,Peter,Wright,2005-04-24,2021-06-01,Mathematics
49,Paige,Myers,1997-07-29,2019-03-27,Engineering
50,Kyle,Lee,2004-02-19,2017-07-09,Engineering
51,Michelle,Thomas,2001-06-02,2016-03-07,Science
52,Bruce,Robertson,1998-06-02,2023-08-19,Science
53,Bobby,Norton,2005-02-26,2015-07-27,Mathematics
54,Anthony,Horton,2002-05-02,2022-07-16,Engineering
55,Catherine,Brock,1998-09-11,2016-03-14,Science
56,Thomas,Murphy,2006-06-28,2018-10-27,Art
57,Michelle,Murray,1995-09-23,2019-09-25,Science
58,Sara,Day,2005-03-08,2014-09-23,Art
59,David,Rush,1994-04-15,2016-04-29,Art
60,Kelly,Clark,2005-04-13,2023-09-10,Engineering
61,Deborah,Brown,1996-01-05,2022-07-06,Computer Science
62,Shirley,Patel,1994-05-30,2023-04-14,History
63,Megan,Guzman,1997-05-05,2015-11-15,Computer Science
64,Anthony,Potts,1997-11-24,2017-11-05,Science
65,Debbie,Wilson,1996-08-04,2023-05-25,Science
66,Kathy,Mitchell,1994-01-11,2023-10-23,History
67,Christopher,Santos,2004-05-02,2016-01-13,History
68,Lisa,Higgins,2004-08-25,2020-04-06,Art
69,Cory,Burns,1998-05-13,2017-10-10,Art
70,Jennifer,Ayala,2002-01-21,2022-02-11,Computer Science
71,Hannah,Torres,2005-07-31,2021-09-15,Engineering
72,Marie,Olsen,2005-09-14,2024-07-06,History
73,Dana,Jenkins,2001-10-17,2017-01-05,Mathematics
74,Emily,Davis,1994-03-02,2020-02-25,Computer Science
75,Timothy,Boyd,1996-12-21,2022-11-08,Art
76,Kim,Collier,1997-05-01,2023-10-31,Computer Science
77,James,Smith,1997-07-23,2020-02-22,Art
78,Katie,Hall,2003-07-22,2016-10-26,Engineering
79,Brenda,Horn,2003-02-28,2016-01-02,Computer Science
80,Matthew,James,2002-08-12,2023-08-15,Computer Science
81,Samantha,Chan,2004-01-02,2020-09-06,History
82,Ruth,Hayes,1993-12-15,2015-11-11,Computer Science
83,Michele,Anderson,2000-06-05,2023-06-27,Science
84,David,Tucker,2000-05-09,2022-03-27,Art
85,Alexandria,Norton,2001-11-07,2020-03-18,Engineering
86,Cristina,Davis,2001-01-11,2015-12-22,Science
87,Darlene,Sloan,1995-11-11,2018-08-31,Science
88,Craig,Mendez,1994-12-25,2020-10-28,Science
89,Madeline,Wade,1994-06-07,2015-05-29,History
90,Travis,Kelly,1995-12-27,2022-02-26,Science
91,Lori,Mendoza,2003-09-10,2023-04-12,Art
92,Kevin,Wood,1999-05-03,2018-08-04,Art
93,Mary,Smith,2000-09-26,2023-08-28,Mathematics
94,Justin,Bailey,2001-08-04,2021-08-18,History
95,Peter,Peterson,2000-11-05,2018-07-17,Science
96,Patty,Mitchell,1997-02-28,2023-02-12,Art
97,Angela,Miranda,1998-08-05,2017-06-07,Engineering
98,Joseph,Ibarra,1999-02-27,2015-04-22,Computer Science
99,Katie,Koch,2001-01-23,2021-10-28,Computer Science
100,Ashley,Shannon,1996-02-15,2015-05-11,Engineering
101,Matthew,Scott,2004-04-08,2019-11-13,Science
102,Cynthia,Gilmore,2003-04-07,2018-09-30,Art
103,Rachel,Powell,1995-07-01,2020-10-18,Engineering
104,Shirley,Brown,2000-09-19,2016-11-29,Science
105,Cathy,Mcdaniel,1998-12-04,2018-04-20,History
106,Kathy,Cervantes,2004-08-11,2018-04-05,Mathematics
107,Kristin,Vasquez,2005-05-17,2015-08-27,Computer Science
108,Joshua,Huff,2003-05-25,2021-05-19,Computer Science
109,Nancy,Flores,2004-06-28,2018-03-02,Science
110,William,Townsend,1994-05-19,2019-08-30,Engineering
111,Maria,Steele,2001-06-30,2016-03-15,Science
112,Paul,Hoover,1993-12-03,2019-01-22,Science
113,James,Wiggins,2000-08-30,2021-09-16,Mathematics
114,Dennis,Collins,2001-01-27,2022-04-20,Computer Science
115,William,Long,1998-06-08,2018-01-25,Mathematics
116,Alisha,Dunlap,1997-02-23,2018-05-04,Computer Science
117,Adam,Hubbard,1999-05-08,2022-07-10,Mathematics
118,Brandi,Lee,1997-01-23,2015-04-12,Mathematics
119,Natalie,Orr,2000-09-07,2018-08-29,Mathematics
120,James,Carrillo,2001-07-21,2020-05-31,Science
121,Angela,Miller,2000-03-04,2015-07-08,Art
122,Regina,Hickman,1999-12-23,2023-09-01,Art
123,Austin,Golden,2001-12-31,2023-12-21,Computer Science
124,Kevin,Kim,1997-09-30,2015-09-01,Engineering
125,Patrick,Williams,1997-08-05,2022-08-23,Art
126,Jeremy,Pierce,1999-08-29,2020-10-26,Science
127,Brianna,Brown,2000-04-10,2018-07-17,Art
128,Daniel,Hanson,1995-11-05,2018-01-15,Science
129,Kyle,Weiss,1996-03-08,2018-06-13,Computer Science
130,Christopher,Sanders,2004-08-05,2023-09-17,Science
131,Michael,Collins,2004-05-31,2017-11-29,Computer Science
132,Chad,Walker,1996-10-21,2014-12-05,Mathematics
133,Emily,Woodward,2006-04-16,2020-10-12,Art
134,Nicole,Tapia,2005-11-23,2017-07-12,Science
135,Anthony,Middleton,1996-10-25,2021-06-06,Art
136,Randall,Martin,2003-03-26,2021-12-30,Computer Science
137,Joshua,Freeman,2002-07-11,2023-09-13,Mathematics
138,Elizabeth,Campos,2001-07-04,2022-08-02,Mathematics
139,Kenneth,French,2006-08-03,2022-04-27,Computer Science
140,Mary,Scott,1998-04-11,2015-04-22,Engineering
141,Michael,Sanders,2002-07-22,2019-08-20,Mathematics
142,Norma,Robinson,1995-02-06,2015-02-03,Computer Science
143,Brent,Key,1997-12-30,2021-11-29,Engineering
144,Katherine,Cole,2000-12-19,2021-06-15,Mathematics
145,Frank,Mullen,1994-04-09,2023-02-02,Engineering
146,Logan,Wolfe,2006-03-15,2024-06-19,Engineering
147,Michael,Hill,2000-02-07,2015-04-23,Computer Science
148,Michele,Fuentes,2001-07-30,2018-12-25,Art
149,Martha,Rowland,1995-01-02,2019-08-01,Mathematics
150,Jesus,Vargas,2001-08-14,2019-04-25,Engineering
151,David,Kaiser,2000-03-24,2015-10-29,History
152,Roberto,Brown,1994-08-17,2024-04-11,Science
153,Brandy,Dudley,2005-08-27,2019-04-10,Science
154,Kim,Blackwell,1994-04-20,2023-12-03,Art
155,James,Collins,1999-12-06,2023-07-21,Art
156,Matthew,Brown,2006-07-23,2020-11-19,Computer Science
157,Christian,Lloyd,1997-04-23,2022-02-15,Engineering
158,David,Brooks,1994-06-18,2023-03-26,Science
159,Charles,Rojas,1998-02-20,2017-12-15,Mathematics
160,Robin,Burke,1998-12-25,2017-12-25,Engineering
161,Diamond,Clark,2000-03-10,2015-02-18,Computer Science
162,Sarah,Moore,2000-10-07,2020-01-02,Art
163,Spencer,Lozano,1996-05-08,2020-07-15,Mathematics
164,Donna,Collins,2005-11-08,2016-01-31,History
165,James,Jones,1998-04-02,2018-01-23,Computer Science
166,Carol,Bautista,2003-07-29,2019-09-15,History
167,Rebecca,Thomas,1998-11-03,2020-10-06,Mathematics
168,Theresa,Wilson,2005-07-08,2023-06-18,Science
169,Justin,Myers,1995-01-12,2015-08-19,Art
170,Robert,Miller,2001-09-16,2023-09-11,History
171,Russell,Wright,1994-07-08,2015-07-29,History
172,Lisa,Johnson,1997-04-03,2019-01-17,Computer Science
173,Stephanie,Lopez,1997-03-01,2020-09-19,Art
174,Kelsey,Rodgers,2002-08-08,2015-05-04,Mathematics
175,Caroline,Robinson,1995-08-11,2020-07-04,Science
176,Emily,Dennis,1998-01-23,2023-11-16,Engineering
177,John,Freeman,1999-01-18,2024-04-01,Art
178,Norma,Clements,2003-07-28,2016-04-25,Computer Science
179,David,Palmer,1997-10-05,2021-12-24,Mathematics
180,William,Fleming,1998-07-11,2019-11-13,Art
181,Crystal,Hunter,2006-07-16,2022-07-21,Engineering
182,Eric,Thompson,1995-02-02,2015-11-28,Engineering
183,Stephen,Wall,1999-05-20,2022-04-22,History
184,Matthew,Cruz,1998-03-01,2022-10-25,Mathematics
185,Victor,Cortez,2001-01-07,2023-01-16,Engineering
186,Jeffrey,Johnson,2004-04-15,2019-07-26,Mathematics
187,Nicholas,Washington,1999-07-06,2018-10-05,Mathematics
188,Ian,Evans,1994-08-27,2015-11-08,History
189,Megan,Howard,1994-01-16,2020-12-06,Engineering
190,Christian,Howard,1997-07-03,2018-06-30,Art
191,Yesenia,Saunders,1994-06-15,2018-01-31,Computer Science
192,Kenneth,Wilson,2004-12-03,2018-07-15,Art
193,Douglas,Brown,2003-01-22,2020-12-07,Science
194,Margaret,Bright,2004-03-01,2014-09-03,Science
195,Randall,Hill,1999-09-12,2016-06-15,Engineering
196,James,Bradford,2003-01-15,2018-05-13,Engineering
197,Tara,Martin,1998-12-12,2015-06-23,Engineering
198,Christopher,Miller,1995-08-03,2024-06-12,Mathematics
199,Donna,King,2003-09-29,2023-12-13,Engineering
200,Erica,Stone,1997-01-08,2014-10-26,Engineering
201,Thomas,Cardenas,2005-12-26,2018-02-03,Science
202,Natalie,Gutierrez,1994-10-25,2022-12-07,Computer Science
203,Melissa,Hardy,2004-12-17,2017-07-25,Art
204,Joseph,Hensley,1999-11-05,2024-04-30,Art
205,Tiffany,Cervantes,2002-07-03,2016-08-30,Mathematics
206,John,Guzman,2004-06-30,2019-09-27,Computer Science
207,John,Best,1998-02-26,2020-12-23,Mathematics
208,Olivia,Williams,2005-09-11,2016-10-15,History
209,Julia,Young,1994-09-05,2020-04-23,Mathematics
210,Michael,Parker,1994-01-18,2020-08-18,Science
211,Karen,Morton,2001-05-26,2019-07-28,Mathematics
212,Kimberly,Lawrence,2003-01-08,2017-12-02,Mathematics
213,Eric,Garcia,2003-09-03,2016-10-13,Engineering
214,Annette,Garner,1996-06-13,2017-11-13,Engineering
215,Richard,Brown,2005-12-30,2020-03-01,Computer Science
216,Gregory,Olsen,1996-04-29,2014-12-04,Science
217,Ricky,Ellis,2006-05-05,2019-09-08,History
218,Brandon,Thomas,1995-12-22,2020-12-24,Science
219,Christopher,Jones,1997-10-28,2022-08-03,Engineering
220,Christine,Jones,1998-08-19,2022-02-26,Science
221,Amy,Wu,1999-05-01,2021-06-11,Art
222,Nicole,Wallace,2006-03-08,2015-07-25,Science
223,William,Hicks,1993-11-29,2015-06-03,Mathematics
224,Katherine,Watkins,1997-08-11,2019-02-03,Computer Science
225,Carolyn,Robles,2001-09-27,2015-11-25,Engineering
226,Joseph,Walker,1996-02-16,2024-03-22,Mathematics
227,Diane,Brown,1996-05-21,2018-11-16,Art
228,Brittany,Diaz,1995-08-13,2021-01-24,Computer Science
229,Robert,Gomez,1997-12-06,2023-12-02,History
230,Marcia,Farley,1997-03-06,2024-01-22,Science
231,Melissa,Boyd,1995-05-25,2017-12-02,Mathematics
232,Gabrielle,White,2003-01-16,2020-09-03,Science
233,David,Mccarty,1993-09-13,2016-05-15,Science
234,Heather,Jones,2002-11-07,2016-08-06,Mathematics
235,Manuel,Bryant,2001-11-19,2015-08-05,History
236,Daniel,Wilson,1998-09-21,2019-01-19,Mathematics
237,Kimberly,Hawkins,1997-10-19,2024-04-26,Mathematics
238,Jennifer,Franklin,1994-06-06,2019-02-19,History
239,John,Smith,2005-07-28,2017-05-01,Mathematics
240,Sabrina,Archer,2004-05-14,2023-10-20,Science
241,Keith,Brooks,2000-04-03,2016-12-18,Science
242,Billy,Stevens,1997-06-11,2016-12-20,Computer Science
243,Derrick,Green,2001-11-16,2023-09-12,Science
244,Jessica,Conley,2002-08-30,2022-09-09,Science
245,Caroline,Sanchez,1998-01-20,2019-09-16,Computer Science
246,Nicholas,Smith,2000-04-23,2020-01-24,History
247,Zachary,Luna,1994-11-17,2018-06-08,History
248,Melody,Jones,2005-01-20,2015-10-09,Mathematics
249,Ashley,Garcia,2005-10-08,2015-06-18,History
250,Joseph,Sanchez,1999-06-25,2017-03-02,History
251,Rachel,Martin,1997-09-19,2016-11-03,History
252,Michelle,Smith,2003-01-07,2021-03-28,Mathematics
253,Tanya,Tyler,1993-12-12,2014-10-26,Mathematics
254,Abigail,Frank,1999-05-05,2022-09-19,Mathematics
255,Mariah,Knight,1997-05-20,2015-07-26,Science
256,William,Swanson,1998-11-08,2015-01-28,Mathematics
257,Victoria,Mitchell,1997-05-07,2020-06-12,Engineering
258,Joshua,Stevenson,2002-04-06,2014-11-04,History
259,Heather,Aguilar,1997-03-03,2022-02-07,History
260,Matthew,Chang,2000-03-04,2020-03-27,Computer Science
261,Margaret,Johnson,2003-08-26,2022-06-13,Computer Science
262,Jimmy,Smith,2000-10-19,2017-01-21,Engineering
263,David,Webb,2000-03-08,2024-05-16,History
264,Rebecca,Serrano,2006-05-20,2021-11-27,Engineering
265,Jessica,Hunter,2003-12-07,2018-07-28,Engineering
266,Bradley,Woods,1998-03-31,2016-11-15,Mathematics
267,Peter,Klein,1996-07-05,2020-06-10,Computer Science
268,Casey,Chandler,2001-12-22,2019-01-19,Engineering
269,Lori,Taylor,2005-09-10,2016-08-08,Science
270,Natalie,George,2001-03-08,2015-12-18,Science
271,Jody,Jones,1998-03-13,2019-04-24,History
272,Brittany,Hunt,2006-02-07,2024-08-21,History
273,Paul,Horton,2004-06-27,2016-10-05,Science
274,Joshua,Drake,2000-09-23,2017-01-20,Mathematics
275,Sonya,Curry,1994-05-28,2022-06-07,Art
276,Andrew,Christian,2001-12-27,2019-11-15,Mathematics
277,Heather,Sanders,1994-01-24,2024-04-18,Art
278,Patrick,Buchanan,1998-12-12,2021-06-30,Engineering
279,Matthew,Mack,2001-03-16,2014-09-10,Mathematics
280,Melanie,Thomas,1994-10-11,2015-08-16,Mathematics
281,Marissa,Carlson,2005-03-07,2023-04-01,Science
282,Aaron,Owens,2005-04-23,2020-10-03,Science
283,Joseph,Nguyen,2005-03-15,2022-07-30,Engineering
284,Jessica,Solomon,1996-03-26,2019-09-26,Computer Science
285,Jessica,Wiley,1997-01-20,2020-04-24,Engineering
286,George,Wall,2002-02-17,2018-07-01,Computer Science
287,Anthony,Shannon,1999-08-28,2015-04-26,Mathematics
288,Alexandra,Williams,1997-05-28,2023-06-10,Mathematics
289,Brian,Miller,2001-05-11,2019-10-18,Mathematics
290,Dana,Elliott,2004-01-28,2020-11-17,Engineering
291,Kathleen,Myers,2004-01-17,2017-01-17,Engineering
292,Denise,Patterson,2001-01-24,2018-01-17,Science
293,Rachel,Ramos,2006-04-10,2015-10-25,Mathematics
294,Samantha,Ross,2005-12-29,2020-07-07,Science
295,Scott,Molina,2002-05-23,2018-08-31,Mathematics
296,Michael,West,2005-10-06,2018-09-16,Mathematics
297,Sean,Edwards,2006-01-23,2016-06-23,Mathematics
298,Brian,Hester,1994-03-13,2021-01-29,Science
299,Kellie,Perez,1995-09-15,2019-07-02,Computer Science
300,Dana,Sandoval,2003-07-30,2024-01-21,History
301,Amy,Stone,2002-10-14,2024-04-26,Art
302,Michael,Golden,1997-11-14,2015-08-13,Computer Science
303,Jennifer,Curtis,1997-03-25,2017-02-28,Art
304,Susan,Cooper,2004-01-01,2023-07-08,Mathematics
305,Jenna,Webb,1997-06-02,2022-01-01,Art
306,Brenda,Tyler,2002-10-11,2016-10-03,History
307,Steven,Gregory,2006-07-03,2016-10-06,History
308,Christine,Robertson,2000-03-25,2017-06-21,Engineering
309,Tami,Cooper,2005-11-08,2023-06-08,Science
310,Catherine,Middleton,2006-02-11,2021-06-26,Engineering
311,Autumn,Williams,2001-07-03,2017-01-24,Science
312,Summer,Martinez,1993-09-11,2022-04-21,Science
313,Katelyn,Smith,1994-04-20,2018-06-06,Science
314,Ryan,Jackson,1997-03-12,2023-01-30,History
315,Teresa,Hartman,2004-09-11,2022-02-24,History
316,Adam,Moore,2002-09-06,2019-08-23,Science
317,David,Lewis,2003-06-06,2023-10-24,Science
318,Joshua,Olsen,1994-05-12,2017-02-03,History
319,Nicholas,Phillips,2001-12-26,2021-08-01,Mathematics
320,Denise,Jackson,1997-12-12,2019-03-31,Mathematics
321,Thomas,Martin,1997-10-27,2016-07-07,Mathematics
322,Ann,Wilson,1998-10-29,2022-08-17,Computer Science
323,Robert,Baxter,2002-01-19,2017-06-02,History
324,Matthew,Summers,1998-01-06,2015-06-15,History
325,Laura,Mullins,1999-06-25,2014-10-13,Computer Science
326,Kristine,Davis,1997-04-09,2016-03-10,Art
327,Melissa,Bishop,2001-11-05,2016-07-29,History
328,Samantha,Johnson,1996-08-10,2024-05-04,Computer Science
329,Lance,Walker,2001-07-03,2020-08-09,Art
330,Megan,Edwards,2004-01-05,2018-07-09,Art
331,Jason,Johnson,1998-10-02,2015-07-29,Mathematics
332,Joshua,Mendez,1999-01-30,2018-04-13,Art
333,John,Rose,1996-04-23,2017-09-18,History
334,Rachel,Ortega,2000-04-29,2016-05-24,Science
335,Laura,Gomez,1999-09-15,2015-01-13,Science
336,David,Webster,1994-04-11,2017-07-03,Computer Science
337,Marie,Thomas,1997-07-14,2018-10-29,Science
338,Brian,Murphy,2001-05-08,2022-07-16,Mathematics
339,Michael,Parker,1993-12-27,2023-04-10,Science
340,Kimberly,Fleming,2000-05-30,2021-03-19,Mathematics
341,Paula,Harrington,1994-03-05,2015-09-05,Engineering
342,Brian,Wilson,2003-11-04,2019-01-15,Science
